id,name,shortname,unit_id,unit
3068,Transient thermocline depth,tthdp,4,
3069,Main thermocline depth,mthd,4,
3070,Main thermocline anomaly,mtha,4,
3072,Convective cloud cover,ccc,29,
3073,Low cloud cover,lcc,29,
3074,Medium cloud cover,mcc,29,
3075,High cloud cover,hcc,29,
3077,Best lifted index (to 500 hPa),bli,2,
3079,Large scale snow,lssf,22,
3080,Water temperature,wtmp,2,
3082,Deviation of sea-level from mean,dslm,4,
3086,Soil moisture content,ssw,22,
3088,Salinity,s,21,
3089,Density,den,9,
3091,"Ice cover (1=ice, 0=no ice)",icec,3,
3092,Ice thickness,icetk,4,
3093,Direction of ice drift,diced,92,
3094,Speed of ice drift,siced,5,
3095,U-component of ice drift,uice,5,
3096,V-component of ice drift,vice,5,
3097,Ice growth rate,iceg,5,
3098,Ice divergence,iced,8,
3099,Snowmelt,snom,22,
3100,Significant height of combined wind waves and swell,swh,4,
3101,Mean direction of wind waves,mdww,92,
3102,Significant height of wind waves,shww,4,
3103,Mean period of wind waves,mpww,12,
3104,Direction of swell waves,swdir,92,
3105,Significant height of swell waves,swell,4,
3106,Mean period of swell waves,swper,12,
3107,Primary wave direction,mdps,92,
3108,Primary wave mean period,mpps,12,
3109,Secondary wave direction,dirsw,92,
3110,Secondary wave mean period,swp,12,
3111,Net short-wave radiation flux (surface),nswrs,76,
3112,Net long-wave radiation flux (surface),nlwrs,76,
3113,Net short-wave radiation flux(atmosph.top),nswrt,76,
3114,Net long-wave radiation flux(atmosph.top),nlwrt,76,
3115,Long wave radiation flux,lwavr,76,
3116,Short wave radiation flux,swavr,76,
3117,Global radiation flux,grad,76,
3119,Radiance (with respect to wave number),lwrad,93,
3120,Radiance (with respect to wave length),swrad,94,
3121,Latent heat flux,lhf,76,
3122,Sensible heat flux,shf,76,
3123,Boundary layer dissipation,bld,76,
3124,"Momentum flux, u-component",uflx,32,
3125,"Momentum flux, v-component",vflx,32,
3126,Wind mixing energy,wmixe,95,
3127,Image data,imgd,7,
129001,Stream function gradient,strfgrd,1,
129002,Velocity potential gradient,vpotgrd,1,
129003,Potential temperature gradient,ptgrd,2,
129004,Equivalent potential temperature gradient,eqptgrd,2,
129005,Saturated equivalent potential temperature gradient,septgrd,2,
129011,U component of divergent wind gradient,udvwgrd,5,
129012,V component of divergent wind gradient,vdvwgrd,5,
129013,U component of rotational wind gradient,urtwgrd,5,
129014,V component of rotational wind gradient,vrtwgrd,5,
129021,Unbalanced component of temperature gradient,uctpgrd,2,
129022,Unbalanced component of logarithm of surface pressure gradient,uclngrd,7,
129023,Unbalanced component of divergence gradient,ucdvgrd,8,
129024,Reserved for future unbalanced components,~,7,
129025,Reserved for future unbalanced components,~,7,
129026,Lake cover gradient,clgrd,3,
129027,Low vegetation cover gradient,cvlgrd,3,
129028,High vegetation cover gradient,cvhgrd,3,
129029,Type of low vegetation gradient,tvlgrd,7,
129030,Type of high vegetation gradient,tvhgrd,7,
129031,Sea-ice cover gradient,sicgrd,3,
129032,Snow albedo gradient,asngrd,3,
129033,Snow density gradient,rsngrd,9,
129034,Sea surface temperature gradient,sstkgrd,2,
129035,Ice surface temperature layer 1 gradient,istl1grd,2,
129036,Ice surface temperature layer 2 gradient,istl2grd,2,
129037,Ice surface temperature layer 3 gradient,istl3grd,2,
129038,Ice surface temperature layer 4 gradient,istl4grd,2,
129039,Volumetric soil water layer 1 gradient,swvl1grd,10,
129040,Volumetric soil water layer 2 gradient,swvl2grd,10,
129041,Volumetric soil water layer 3 gradient,swvl3grd,10,
129042,Volumetric soil water layer 4 gradient,swvl4grd,10,
129043,Soil type gradient,sltgrd,7,
129044,Snow evaporation gradient,esgrd,22,
129045,Snowmelt gradient,smltgrd,22,
129046,Solar duration gradient,sdurgrd,12,
129047,Direct solar radiation gradient,dsrpgrd,6,
129048,Magnitude of turbulent surface stress gradient,magssgrd,14,
129049,10 metre wind gust gradient,10fggrd,5,
129050,Large-scale precipitation fraction gradient,lspfgrd,12,
129051,Maximum 2 metre temperature gradient,mx2t24grd,2,
129052,Minimum 2 metre temperature gradient,mn2t24grd,2,
129053,Montgomery potential gradient,montgrd,15,
129054,Pressure gradient,presgrd,16,
129055,Mean 2 metre temperature in the last 24 hours gradient,mean2t24grd,2,
129056,Mean 2 metre dewpoint temperature in the last 24 hours gradient,mn2d24grd,2,
129057,Downward UV radiation at the surface gradient,uvbgrd,6,
129058,Photosynthetically active radiation at the surface gradient,pargrd,6,
129059,Convective available potential energy gradient,capegrd,17,
129060,Potential vorticity gradient,pvgrd,18,
129061,Total precipitation from observations gradient,tpogrd,35,
129062,Observation count gradient,obctgrd,7,
129063,Start time for skin temperature difference,~,12,
129064,Finish time for skin temperature difference,~,12,
129065,Skin temperature difference,~,2,
129066,"Leaf area index, low vegetation",~,19,
129067,"Leaf area index, high vegetation",~,19,
129070,"Biome cover, low vegetation",~,3,
129071,"Biome cover, high vegetation",~,3,
129078,Total column liquid water,~,22,
129079,Total column ice water,~,22,
129080,Experimental product,~,7,
129081,Experimental product,~,7,
129082,Experimental product,~,7,
129083,Experimental product,~,7,
129084,Experimental product,~,7,
129085,Experimental product,~,7,
129086,Experimental product,~,7,
129087,Experimental product,~,7,
129088,Experimental product,~,7,
129089,Experimental product,~,7,
129090,Experimental product,~,7,
129091,Experimental product,~,7,
129092,Experimental product,~,7,
129093,Experimental product,~,7,
129094,Experimental product,~,7,
129095,Experimental product,~,7,
129096,Experimental product,~,7,
129097,Experimental product,~,7,
129098,Experimental product,~,7,
129099,Experimental product,~,7,
129100,Experimental product,~,7,
129101,Experimental product,~,7,
129102,Experimental product,~,7,
129103,Experimental product,~,7,
129104,Experimental product,~,7,
129105,Experimental product,~,7,
129106,Experimental product,~,7,
129107,Experimental product,~,7,
129108,Experimental product,~,7,
129109,Experimental product,~,7,
129110,Experimental product,~,7,
129111,Experimental product,~,7,
129112,Experimental product,~,7,
129113,Experimental product,~,7,
129114,Experimental product,~,7,
129115,Experimental product,~,7,
129116,Experimental product,~,7,
129117,Experimental product,~,7,
129118,Experimental product,~,7,
129119,Experimental product,~,7,
129120,Experimental product,~,7,
129121,Maximum temperature at 2 metres gradient,mx2t6grd,2,
129122,Minimum temperature at 2 metres gradient,mn2t6grd,2,
129123,10 metre wind gust in the last 6 hours gradient,10fg6grd,5,
129125,Vertically integrated total energy,~,6,
129126,Generic parameter for sensitive area prediction,~,25,
129127,Atmospheric tide gradient,atgrd,7,
129128,Budget values gradient,bvgrd,7,
129129,Geopotential gradient,zgrd,15,
129130,Temperature gradient,tgrd,2,
129131,U component of wind gradient,ugrd,5,
129132,V component of wind gradient,vgrd,5,
129133,Specific humidity gradient,qgrd,21,
129134,Surface pressure gradient,spgrd,16,
129135,vertical velocity (pressure) gradient,wgrd,26,
129136,Total column water gradient,tcwgrd,22,
129137,Total column water vapour gradient,tcwvgrd,22,
129138,Vorticity (relative) gradient,vogrd,8,
129139,Soil temperature level 1 gradient,stl1grd,2,
129140,Soil wetness level 1 gradient,swl1grd,22,
129141,Snow depth gradient,sdgrd,27,
129142,Stratiform precipitation (Large-scale precipitation) gradient,lspgrd,4,
129143,Convective precipitation gradient,cpgrd,4,
129144,Snowfall (convective + stratiform) gradient,sfgrd,27,
129145,Boundary layer dissipation gradient,bldgrd,6,
129146,Surface sensible heat flux gradient,sshfgrd,6,
129147,Surface latent heat flux gradient,slhfgrd,6,
129148,Charnock gradient,chnkgrd,7,
129149,Surface net radiation gradient,snrgrd,6,
129150,Top net radiation gradient,tnrgrd,7,
129151,Mean sea level pressure gradient,mslgrd,16,
129152,Logarithm of surface pressure gradient,lnspgrd,7,
129153,Short-wave heating rate gradient,swhrgrd,2,
129154,Long-wave heating rate gradient,lwhrgrd,2,
129155,Divergence gradient,dgrd,8,
129156,Height gradient,ghgrd,4,
129157,Relative humidity gradient,rgrd,29,
129158,Tendency of surface pressure gradient,tspgrd,26,
129159,Boundary layer height gradient,blhgrd,4,
129160,Standard deviation of orography gradient,sdorgrd,7,
129161,Anisotropy of sub-gridscale orography gradient,isorgrd,7,
129162,Angle of sub-gridscale orography gradient,anorgrd,30,
129163,Slope of sub-gridscale orography gradient,slorgrd,7,
129164,Total cloud cover gradient,tccgrd,3,
129165,10 metre U wind component gradient,10ugrd,5,
129166,10 metre V wind component gradient,10vgrd,5,
129167,2 metre temperature gradient,2tgrd,2,
129168,2 metre dewpoint temperature gradient,2dgrd,2,
